Greenland,GRL,634
Guatemala,GTM,11118
Guam,GUM,
Guyana,GUY,1701
High income,HIC,14901651
Hong Kong SAR China,HKG,36289
Honduras,HND,8108
Heavily indebted poor countries (HIPC),HPC,133288
Croatia,HRV,20884
Haiti,HTI,2120
Hungary,HUN,50583
Indonesia,IDN,433989
Isle of Man,IMN,
India,IND,2008823
Not classified,INX,
Ireland,IRL,40000
Iran Islamic Rep.,IRN,571612
Iraq,IRQ,114667
Iceland,ISL,1962
Israel,ISR,70656
Italy,ITA,406307
Jamaica,JAM,7158
Jordan,JOR,20821
Japan,JPN,1170715
Kazakhstan,KAZ,248729
Kenya,KEN,12427
Kyrgyz Republic,KGZ,6399
Cambodia,KHM,4180
Kiribati,KIR,62
St. Kitts and Nevis,KNA,249
Korea Rep.,KOR,567567
Kosovo,KSV,
Kuwait,KWT,93696
Latin America & Caribbean (developing only),LAC,1553660
Lao PDR,LAO,1874
Lebanon,LBN,20403
Liberia,LBR,799
Libya,LBY,59035
St. Lucia,LCA,403
Latin America & Caribbean (all income levels),LCN,1733152
Least developed countries: UN classification,LDC,214417
Low income,LIC,229257
Liechtenstein,LIE,
Sri Lanka,LKA,12710
Lower middle income,LMC,3827041
Low & middle income,LMY,16777539
Lesotho,LSO,18
Lithuania,LTU,13561
Luxembourg,LUX,10829
Latvia,LVA,7616
Macao SAR China,MAC,1030
St. Martin (French part),MAF,
Morocco,MAR,50608
Monaco,MCO,
Moldova,MDA,4855
Madagascar,MDG,2013
Maldives,MDV,1074
Middle East & North Africa (all income levels),MEA,2228843
Mexico,MEX,443674
Marshall Islands,MHL,103
Middle income,MIC,16548474
Macedonia FYR,MKD,10873
Mali,MLI,623
Malta,MLT,2589
Myanmar,MMR,8995
Middle East & North Africa (developing only),MNA,1277891
Montenegro,MNE,2582
Mongolia,MNG,11511
Northern Mariana Islands,MNP,
Mozambique,MOZ,2882
Mauritania,MRT,2215
Mauritius,MUS,4118
Malawi,MWI,1239
Malaysia,MYS,216804
North America,NAC,5932671
Namibia,NAM,3176
New Caledonia,NCL,3920
Niger,NER,1412
Nigeria,NGA,78910
Nicaragua,NIC,4547
Netherlands,NLD,182078
High income: nonOECD,NOC,3190425
Norway,NOR,57187
Nepal,NPL,3755
New Zealand,NZL,31551
High income: OECD,OEC,11799328
OECD members,OED,12591587
Oman,OMN,57202
Other small states,OSS,28761
Pakistan,PAK,161396
Panama,PAN,9633
Peru,PER,57579
Philippines,PHL,81591
Palau,PLW,216
Papua New Guinea,PNG,3135
Poland,POL,317254
Puerto Rico,PRI,
Korea Dem. Rep.,PRK,71624
Portugal,PRT,52361
Paraguay,PRY,5075
Pacific island small states,PSS,2430
French Polynesia,PYF,884
Qatar,QAT,70531
Romania,ROU,78745
Russian Federation,RUS,1740776
Rwanda,RWA,594
South Asia,SAS,2252623
Saudi Arabia,SAU,464481
Sudan,SDN,14173
Senegal,SEN,7059
Singapore,SGP,13520
Solomon Islands,SLB,202
Sierra Leone,SLE,689
El Salvador,SLV,6249
San Marino,SMR,
Somalia,SOM,609
Serbia,SRB,45962
Sub-Saharan Africa (developing only),SSA,703762
South Sudan,SSD,
Sub-Saharan Africa (all income levels),SSF,708444
Small states,SST,100070
Sao Tome and Principe,STP,99
Suriname,SUR,2384
Slovak Republic,SVK,36094
Slovenia,SVN,15328
Sweden,SWE,52515
Swaziland,SWZ,1023
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,704
Syrian Arab Republic,SYR,61859
Turks and Caicos Islands,TCA,161
Chad,TCD,469
Togo,TGO,1540
Thailand,THA,295282
Tajikistan,TJK,2860
Turkmenistan,TKM,53054
Timor-Leste,TLS,183
Tonga,TON,158
Trinidad and Tobago,TTO,50682
Tunisia,TUN,25878
Turkey,TUR,298002
Tuvalu,TUV,
Tanzania,TZA,6846
Uganda,UGA,3784
Ukraine,UKR,304805
Upper middle income,UMC,12721087
Uruguay,URY,6645
United States,USA,5433057
Uzbekistan,UZB,104443
St. Vincent and the Grenadines,VCT,209
Venezuela RB,VEN,201747
Virgin Islands (U.S.),VIR,
Vietnam,VNM,150230
Vanuatu,VUT,117
West Bank and Gaza,PSE,2365
World,WLD,33615389
Samoa,WSM,161
Yemen Rep.,YEM,21852
South Africa,ZAF,460124
Congo Dem. Rep.,COD,3040
Zambia,ZMB,2428
Zimbabwe,ZWE,9428
